Kode,KodeSupplier,Nama,Harga,Satuan,Barcode
1964,40,EMERON SHP HAIR FALL 80,3310,PCS  ,8.99887E+12
1965,40,EMERON SHP GINSENG M 90,3310,PCS  ,8.99887E+12
1966,40,EMERON SHP AK 170,6670,PCS  ,8.99887E+12
1967,40,EMERON SHP HAIRFALL 170,7250,PCS  ,8.99887E+12
1968,40,EMERON SHP SOFT & SMOOTH 170,7250,PCS  ,8.99887E+12
1969,40,EMERON SHP S SRAIGHT 270,11125,PCS  ,8.99887E+12
1970,40,EMERON SHP A KETOMBE 270,10235,PCS  ,8.99887E+12
1971,40,EMERON SHP L BUAYA 270,11125,PCS  ,8.99887E+12
1972,40,EMERON SHP U ARING 270,10235,PCS  ,8.99887E+12
1973,40,EMERON SHP BLACK SHINE 80,3310,PCS  ,8.99887E+12
1975,19,REJOICE LEAVE ON 50,6126.25,PCS  ,4.90243E+12
1977,19,PANTENE HAIRFALL 400,33660,PCS  ,8.99887E+12
1979,40,EMERON SHP BLACK SHINE 170,6670,PCS  ,8.99887E+12
198,158,TIM TAM CHOCO COFFEE135,6541.25,PCS  ,8.99309E+12
1981,19,H&S CLEAN BALANCE EOL 70ML,9157.5,PCS  ,4.90243E+12
1982,19,H&S CLEAN&BALANCE 180ML,17975,PCS  ,4.90243E+12
1983,19,H&S SHP CLEAN&BLC 6X5ML,2970,STR  ,4.90243E+12
1985,19,H&S MENTHOL 75ML,9157.5,PCS  ,4.90243E+12
1986,19,H&S MENTHOL 180,17975,PCS  ,4.90243E+12
1987,19,H&S SHP MENTHOL 6X10ML,2970,STR  ,4.90243E+12
1988,19,H&S SHP SMOOTH&SILKY 6X5ML,2970,STR  ,4.90243E+12
1989,19,H&S SMOOTH&SILKY 90ML,9157.5,PCS  ,4.90243E+12
1990,19,H&S SMOOTH&SILKY 180ML,17975,PCS  ,4.90243E+12
1991,19,PANTENE HAIRFALL 70,9157.5,PCS  ,4.90243E+12
1992,19,PANTENE SHP HAIRFALL 6X5M,2970,STR  ,4.90243E+12
1993,19,PANTENE HAIR FALL 200,19613.75,PCS  ,4.90243E+12
1994,19,REJOICE BLACK 400,24750,PCS  ,4.90243E+12
1995,131,MR SHP DAUN LANDEP 175,9693.75,PCS  ,8.99515E+12
1997,40,ZINC SHP RE-FRESHING 135,8125,PCS  ,8.99887E+12
200,A0012     ,PIATOS KEJU 12,937.5,PACK ,8.9962E+12
2000,19,PANTENE COND HAIRFALL 75,9157.5,PCS  ,4.90243E+12
2001,19,REJOICE REVIVING 5 ML,2970,PCS  ,4.90243E+12
2003,19,PANTENE COND HAIR FALL 165,22925,PCS  ,4.90243E+12
201,A0012     ,PIATOS BARBEQUE 12,937.5,PACK ,8.9962E+12
2012,131,MR BILASAN SANTAN 175,12375,PCS  ,8.99515E+12
2013,51,MR. CREAM CEMCEMAN 175/200,18046.25,PCS  ,8.99515E+12
2014,51,M RATU MY CENDANA 175 ML,15000,PCS  ,8.99515E+12
2015,131,MR SHP DAUN TEH HIJAU 175,9693.75,PCS  ,8.99515E+12
2016,131,MR PENYUBUR R 175 ,15000,PCS  ,8.99515E+12
2017,131,MR SHP BAYAM 175,9693.75,PCS  ,8.99515E+12
2018,131,MR SHP DAUN WARU 175,9693.75,PCS  ,8.99515E+12
2019,131,MR SHP MERANG 175 ML,9693.75,PCS  ,8.99515E+12
202,176,GARUDA KCG BAWANG 220,10395,PCS  ,8.99278E+12
2023,40,ZINC RE-VITALIZING 135,8375,PCS  ,8.99887E+12
2024,19,REJOICE BLACK 180,13767.5,PCS  ,4.90243E+12
2025,19,HERBAL WEIGHTY &STR 100,7765,PCS  ,4.90243E+12
2026,19,HERBAL WEIGHTY & STR 200,14478.75,PCS  ,4.90243E+12
2027,103,NATUR SUBUR RBT 80,6737.5,PCS  ,8.99293E+12
2028,131,NATUR PENGHITAM RBT 80,6737.5,PCS  ,8.99293E+12
2029,131,NATUR PERAWAT RBT 80,6737.5,PCS  ,8.99293E+12
203,A0012     ,PIATOS SAPI PANGGANG 12,937.5,PACK ,8.9962E+12
2031,131,NATUR MENCEGAH RTK 140 ML,11687.5,PCS  ,8.99293E+12
2032,103,NATUR MENCEGAH RTK 80 ML,6875,PCS  ,8.99293E+12
2033,40,NEOPON CAMOMILE SHP 200ML,13680,PCS  ,8.99626E+12
2039,19,REJOICE RICH 400,24750,PCS  ,4.90243E+12
204,31,TIM TAM COOKIES CKT 120,6062.5,PCS  ,8.88602E+12
2040,19,REJOICE COMPLETE 400,25555,PCS  ,4.90243E+12
2041,19,REJOICE GINSENG VITAL 400,24750,PCS  ,4.90243E+12
2042,19,REJOICE GINSENG VITAL 200,13766.25,PCS  ,4.90243E+12
2045,19,PANTENE COND HEALTY 90,9157.5,PCS  ,4.90243E+12
2046,19,REJOICE FAMILY C 175,10890,PCS  ,4.90243E+12
2047,19,PANTENE ANTI D 170ML,19613.75,PCS  ,4.90243E+12
2048,19,PANTENE ANTI D 70,9157.5,PCS  ,4.90243E+12
2049,19,PANTENE AD 6X10 ML,2970,STR  ,4.90243E+12
205,A0044     ,STICK NANAS MANNA,497.5,PCS  ,205
2050,19,PANTENE CON SMOOTSILKY 165,22925,PCS  ,4.90243E+12
2051,19,REJOICE FAMILY CLEAN 80,5692.5,PCS  ,4.90243E+12
2052,19,PANTENE COND LIVELY 100,11980,PCS  ,4.90243E+12
2053,19,PANTENE COND SMOOTH S 90,9157.5,PCS  ,4.90243E+12
2054,19,PANTENE COND 3MM TTL DMG 70,3993.75,PCS  ,4.90243E+12
2057,19,PANTENE LIVELY CLEAN 200,18401.25,PCS  ,4.90243E+12
2058,19,REJOICE SOFT & SMOOTH 6X6 ML,1608.75,STR  ,4.90243E+12
2059,19,PANTENE LIVELY CLEAN 5 ML,2457.5,PCS  ,4.90243E+12
206,103,OREO PEANUT BTR & CHO294 GR,1041.25,BOX  ,8.99276E+12
2060,19,PANTENE COND 3MM HAIRFALL 70,22762.5,PCS  ,4.90243E+12
2061,19,PANTENE SHP BLACK 6X5,2970,STR  ,4.90243E+12
2062,19,PANTENE SHP NAT C F&L 6X10,36011.25,RTG  ,4.90243E+12
2063,19,PANTENE NEW NORMAL 400 ML,33592.5,PCS  ,4.90243E+12
2064,19,PANTENE BLACK 90  ML,9157.5,PCS  ,4.90243E+12
2065,19,PANTENE LONG BLACK 200,22878.75,PCS  ,4.90243E+12
2066,19,PANTENE SMOOTH SILKY 85,9157.5,PCS  ,4.90243E+12
2067,19,PANTENE SMOOTH SILKY 170,19613.75,PCS  ,4.90243E+12
2068,19,PANTENE SHP SMOOTH S 6X7,2970,STR  ,4.90243E+12
2069,19,PANTENE VOLOME FULLNES 10,9837.5,PCS  ,4.90243E+12
2070,19,PANTENE VOLUME FULLNES BA,2970,PCS  ,4.90243E+12
2071,19,PANTENE BLACK 170 ML,19812.5,PCS  ,4.90243E+12
2072,19,REJOICE AD 3 IN 1  6 X 6 ML,2970,STR  ,4.90243E+12
2073,19,REJOICE ANTI HAIRFAL 170 ML,13767.5,PCS  ,4.90243E+12
2074,19,REJOICE ANTI.D 100ML,7363.75,PCS  ,4.90243E+12
2075,19,REJOICE BLACK 5ML BANDED,2970,STR  ,4.90243E+12
2076,19,REJOICE SHP HAIRFAL 6 X 6 ML,2970,STR  ,4.90243E+12
2078,19,REJOICE BALANCED 200ML,12936.25,PCS  ,4.90243E+12
2079,19,REJOICE COMPLETE 90,7362.5,PCS  ,4.90243E+12
2080,19,REJOICE COMPLETE 180,13767.5,PCS  ,4.90243E+12
2081,19,REJOICE COMPLIT 6X5ML,2970,STR  ,4.90243E+12
2082,19,REJOICE FRUITY/FRUITY AD 180,13767.5,PCS  ,4.90243E+12
2083,19,REJOICE COND FRUITY 80,6682.5,PCS  ,4.90243E+12
2084,19,REJOICE RICH 90,7362.5,PCS  ,4.90243E+12
2085,19,REJOICE RICH BTL 240,13767.5,PCS  ,4.90243E+12
2086,19,REJOICE RICH (5.5ML X 2) X 6,2970,STR  ,4.90243E+12
2087,19,PANTENE LEAVE ON/H 6X5ML,2970,PCS  ,4.90243E+12
2088,19,PANTENE BLACK COND 7,52970,PCS  ,4.90243E+12
2090,19,REJOICE BLACK SILKY BLACK 90,7362.5,PCS  ,4.90243E+12
2107,40,ZINC RE-ENERGZ 135,8125,PCS  ,8.99887E+12
212,2,KG ASS RED BULAT 1000G,20093.75,DOS  ,8.88817E+12
2123,19,PANTENE HEALTY SCALP 90,9157.5,PCS  ,4.90243E+12
2124,19,PANTENE HEALTY SCALP 200,19812.5,PCS  ,9E+12
2133,167,ABC MIE GULE SALERO 70,825,DOS  ,8.99239E+12
2135,102,ABC MIE OPOR,873.75,PCS  ,8.99239E+12
2139,19,ABC MIE SP GRG AYAM LIMAU,896.25,DOS  ,8.99239E+12
214,179,MR.P KACANG MADU 40GR,2627.5,PACK ,8.99271E+12
2140,A0094     ,ABC MIE SP GULAI AYAM ,873.75,DOS  ,8.99239E+12
2141,167,ABC MIE CUP KARI AYAM,2647.5,PCS  ,8.99239E+12
2142,A0094     ,ABC MIE RASA AYAM BWG,825,DOS  ,8.99239E+12
2143,102,ABC MIE RBS BASO SAPI,825,PCS  ,8.99239E+12
2145,A0094     ,ABC MIE SP SEMUR AYAM,873.75,DOS  ,8.99239E+12
2146,102,ABC MIE SOTO,782.5,PCS  ,8.99239E+12
2147,19,ABC MIE SP SUP TOMAT,873.75,DOS  ,8.99239E+12
2148,102,ABC MIE GRG PANGSIT,1017.5,PCS  ,2148
215,179,MR.P KCG CHILI ROASTED 80GR,5253.75,PACK ,8.99271E+12
2156,90,YOU C1000 LEMON,3958.75,DOS  ,8.99701E+12
2157,A0113     ,TEH BANDULAN KNG 80 GR,1128.75,PCS  ,8.9943E+12
216,179,MR.P KCG MADU 80GR,5253.75,PACK ,8.99271E+12
2162,A0069     ,TWISTKO JAGUNG BAKAR 70,2343.75,PCS  ,8.99483E+12
2164,23,CUP NOODLES UDANG CIS,2603.75,PCS  ,8.99272E+12
2165,215,SARI ROTI LAPIS BAMKUHEN,953.75,PCS  ,8.99291E+12
2166,A0002     ,SGM EKSPLOR 1+ VAN 600G,1062.5,PCS  ,8.9991E+12
217,54,MR.P KC METTE MADU 80 GR,12541.25,PCS  ,8.99271E+12
218,179,MR.P KCG GARLIC 40 GR,2627.5,PACK ,8.99271E+12
2184,19,SELAMAT BISC BLACK VNL102,1117.5,PCS  ,8.991E+12
2189,172,CARRERA POLES M 20GX6S,2800,PCS  ,8.99275E+12
219,179,MR.P KCG GARLIC ROASTED 80GR,5253.75,PACK ,8.99271E+12
2190,172,CARRERA SHAMPO M 30MX6S,2800,PCS  ,8.99275E+12
2191,172,STELLA MATIC LISTRIK(KECIL),3315,PCS  ,2191
220,179,MR.P KCG CHILI ROASTED 40GR,2627.5,PACK ,8.99271E+12
2200,19,GILLETTE BLUE II PLUS 589,1326.25,PCS  ,8.88883E+12
2203,175,CAREFREE HEALTHY FRESH SD,1326.25,PCS  ,8.85001E+12
2204,175,CAREFREE HEALTHY ULTRA T 20,1326.25,PCS  ,8.85001E+12
2209,40,SEDAP MIE SAMBAL GORENG,1192.5,DOS  ,8.99887E+12
2219,131,SWEETY BRONZE PANTS M34,668.75,PCS  ,8.99296E+12
222,103,OREO VANILA 137 GR ,4892.5,PCS  ,8.99276E+12
2220,131,SWEETY SAFE&SOFT L36,687.5,PCS  ,8.99296E+12
2230,131,ICE CREAM KOPYOR 150,512.5,PCS  ,                    
2231,112,SEPATU ARDILES CLEAVER,548.75,PCS  ,2231
2233,19,GILLETTE UG BLU II PLUS 2S,520,PCS  ,8.88886E+12
2234,19,VICKS FORMULA 44 27 ML,543.75,PCS  ,4.98718E+12
2237,172,HIT AERO GREEN TEA 225,702.5,PCS  ,8.99275E+12
224,103,OREO VANILA 29.4,1041.25,BOX  ,8.99276E+12
2241,A0030     ,DRINK BENG-BENG 5X30 GR,1113.75,DOS  ,8.996E+12
2242,A0030     ,TORABIKA SUSU ESPRESSO 5X23G,750,DOS  ,8.99867E+12
2244,A0034     ,EVEREADY HTM SEDANG 1235 2S,548.75,PCS  ,8.999E+12
225,103,OREO COKLAT CREEM 29.4,1068.75,BOX  ,8.99276E+12
2252,40,JAS JUS ALL SAC10,1360,PCS  ,8.99887E+12
226,103,OREO DOUBLE STUF 152,4892.5,PCS  ,4.89305E+12
2261,4,MADU SARI MURNI TTK 650,7700,PCS  ,2261
2273,2,NS WFR LEMON 120,3703.75,PCS  ,8.88817E+12
2282,112,SEPATU CARVIL SOULMATE T,548.75,PCS  ,2282
2284,40,SEDAP MIE GORENG,1192.5,DOS  ,8.99887E+12
229,200,REGAL MARIE SUPERIOR 250G,13846.25,PCS  ,8.99304E+12
2291,71,EXTRA JOSS 10 TABLET,7500,PCS  ,8.99306E+12
2293,19,VICKS VAPARUP 50,20418.75,PCS  ,4.98718E+12
2295,131,HANSAPLAST BALSEM 10GR,2625,PCS  ,8.99978E+12
2296,131,HANSAPLAST BALSEM 20GR,4900,PCS  ,8.99978E+12
2298,19,VICKS VAPARUB 5 GR,2783.75,PCS  ,8.99978E+12
230,200,REGAL SUPERIOR 125 GR,7301.25,PCS  ,8.99304E+12
2306,171,KAYU PUTIH MINYAK B,6972.5,PCS  ,0
2308,69,MM PULPY HOMESTY 350,7631.25,DOS  ,8.99276E+12
2309,102,TRENZ 30 ALL VAR,1036.25,PCS  ,89686681215
231,103,RITZ CRACERS 100 GR,3312.5,PCS  ,8.99276E+12
2314,A0045     ,GAJAH TELON 55 BOTOL,6972.5,PCS  ,8.99518E+12
2315,19,VAPORUB 50 GR,18187.5,PCS  ,4.98718E+12
2316,19,VICKS INHALER,8167.5,PCS  ,4.90243E+12
2317,19,VICKS VAPORUB 10 GR,4918.75,PCS  ,4.98718E+12
2319,31,MULTI MP-03,4162.5,PCS  ,8.99293E+12
232,103,RITZ SANDWICH CHEESE 27,1041.25,BOX  ,4.89305E+12
2320,172,MITU TRAVEL PACK LEMON 5,876.25,PCS  ,8.9989E+12
2321,172,MITU ANN T PACK 5 KW,876.25,PCS  ,8.9989E+12
2322,172,MITU WETTIES BOX LMN 20,5510,PCS  ,8.99275E+12
2323,172,MITU T BOX SHIKADA 20,5248.75,PCS  ,8.99275E+12
2325,172,MITU T. BOX,5248.75,PCS  ,0
2326,172,MITU T. BOX BABY BP  20,5510,PCS  ,8.99275E+12
233,103,RITZ SANDWICH CRAC CHESE 118,4367.5,PCS  ,4.89305E+12
2330,172,MITU BABY BOTOL BLUE,12146.25,PCS  ,8.99275E+12
2331,172,MITU BABY BOTOL PINK,12753.75,PCS  ,8.99275E+12
2332,172,MITU BABY REFILL BLUE,11287.5,PCS  ,8.99275E+12
2333,172,MITU WETTIES ASEPTIC BTL 60,12753.75,PCS  ,8.99275E+12
2334,172,MITU BOTOL COLOGNE 60,12753.75,PCS  ,8.99275E+12
